,class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class_edible
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,100.0,0.0,0.0,11.11111111111111,0.0,12.5,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,16.666666666666668,0
2,100.0,20.0,0.0,22.22222222222222,0.0,25.0,0.0,0.0,100.0,9.090909090909092,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,33.333333333333336,0
3,0.0,0.0,33.333333333333336,22.22222222222222,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,100.0,0.0,0.0,33.33333333333333,100.0,37.5,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,40.0,16.666666666666668,0
5,100.0,0.0,33.333333333333336,11.11111111111111,0.0,12.5,0.0,0.0,100.0,9.090909090909092,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.666666666666668,0
6,100.0,20.0,0.0,22.22222222222222,0.0,12.5,0.0,0.0,100.0,18.181818181818183,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.333333333333336,0
7,100.0,20.0,33.333333333333336,22.22222222222222,0.0,25.0,0.0,0.0,100.0,9.090909090909092,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,33.333333333333336,0
8,0.0,0.0,33.333333333333336,22.22222222222222,0.0,0.0,0.0,0.0,0.0,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,16.666666666666668,1
9,100.0,20.0,0.0,11.11111111111111,0.0,12.5,0.0,0.0,100.0,18.181818181818183,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0
10,100.0,0.0,33.333333333333336,11.11111111111111,0.0,25.0,0.0,0.0,100.0,18.181818181818183,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,16.666666666666668,0
11,100.0,0.0,33.333333333333336,11.11111111111111,0.0,12.5,0.0,0.0,100.0,9.090909090909092,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0
12,100.0,20.0,0.0,11.11111111111111,0.0,12.5,0.0,0.0,100.0,36.36363636363637,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,16.666666666666668,0
13,0.0,0.0,33.333333333333336,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,60.0,0.0,1
14,100.0,0.0,66.66666666666667,0.0,100.0,37.5,0.0,100.0,100.0,9.090909090909092,100.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,25.0,0.0,40.0,16.666666666666668,0
15,100.0,40.0,66.66666666666667,33.33333333333333,100.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,80.0,0.0,0
16,100.0,60.0,66.66666666666667,22.22222222222222,100.0,37.5,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,40.0,16.666666666666668,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,1
18,0.0,0.0,33.333333333333336,22.22222222222222,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,1
20,100.0,20.0,0.0,11.11111111111111,0.0,12.5,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,33.333333333333336,0
21,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,60.0,16.666666666666668,1
22,100.0,20.0,33.333333333333336,11.11111111111111,0.0,25.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,33.333333333333336,0
23,100.0,20.0,33.333333333333336,22.22222222222222,0.0,12.5,0.0,0.0,100.0,36.36363636363637,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,33.333333333333336,0
24,100.0,20.0,0.0,22.22222222222222,0.0,25.0,0.0,0.0,100.0,18.181818181818183,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0
25,0.0,60.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,60.0,16.666666666666668,1
26,100.0,0.0,33.333333333333336,11.11111111111111,0.0,12.5,0.0,0.0,100.0,9.090909090909092,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,33.333333333333336,0
27,100.0,0.0,33.333333333333336,22.22222222222222,0.0,25.0,0.0,0.0,100.0,36.36363636363637,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,33.333333333333336,0
28,100.0,60.0,66.66666666666667,0.0,100.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
29,100.0,0.0,0.0,11.11111111111111,0.0,12.5,0.0,100.0,0.0,9.090909090909092,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,60.0,50.0,0
30,100.0,20.0,0.0,11.11111111111111,0.0,25.0,0.0,0.0,100.0,18.181818181818183,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,33.333333333333336,0
31,0.0,0.0,33.333333333333336,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,1
32,100.0,0.0,33.333333333333336,11.11111111111111,0.0,25.0,0.0,0.0,100.0,9.090909090909092,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,33.333333333333336,0
33,100.0,0.0,33.333333333333336,0.0,0.0,25.0,0.0,0.0,100.0,27.272727272727273,0.0,75.0,0.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,12.5,80.0,66.66666666666667,0
34,100.0,20.0,33.333333333333336,11.11111111111111,0.0,25.0,0.0,0.0,100.0,9.090909090909092,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,33.333333333333336,0
35,100.0,0.0,66.66666666666667,11.11111111111111,0.0,25.0,0.0,100.0,0.0,36.36363636363637,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,60.0,50.0,0
36,100.0,40.0,66.66666666666667,33.33333333333333,100.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0
37,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,36.36363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,1
38,100.0,0.0,66.66666666666667,11.11111111111111,0.0,12.5,0.0,100.0,0.0,27.272727272727273,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,60.0,50.0,0
39,100.0,20.0,0.0,11.11111111111111,0.0,25.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0
40,100.0,20.0,33.333333333333336,11.11111111111111,0.0,12.5,0.0,0.0,100.0,9.090909090909092,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,16.666666666666668,0
41,100.0,0.0,33.333333333333336,11.11111111111111,0.0,25.0,0.0,0.0,100.0,9.090909090909092,0.0,75.0,0.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,80.0,66.66666666666667,0
42,100.0,0.0,66.66666666666667,0.0,100.0,37.5,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
43,0.0,0.0,33.333333333333336,22.22222222222222,0.0,0.0,0.0,0.0,0.0,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,60.0,16.666666666666668,1
44,100.0,0.0,0.0,11.11111111111111,0.0,12.5,0.0,0.0,100.0,36.36363636363637,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.333333333333336,0
45,100.0,0.0,33.333333333333336,22.22222222222222,0.0,12.5,0.0,0.0,100.0,9.090909090909092,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,16.666666666666668,0
46,100.0,0.0,33.333333333333336,11.11111111111111,0.0,25.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0
47,100.0,0.0,0.0,22.22222222222222,0.0,25.0,0.0,0.0,100.0,36.36363636363637,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,33.333333333333336,0
48,100.0,0.0,33.333333333333336,11.11111111111111,0.0,25.0,0.0,0.0,100.0,9.090909090909092,0.0,75.0,0.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,12.5,0.0,66.66666666666667,0
49,100.0,60.0,33.333333333333336,11.11111111111111,0.0,25.0,0.0,0.0,100.0,36.36363636363637,0.0,75.0,0.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,0
50,100.0,0.0,33.333333333333336,0.0,0.0,12.5,0.0,0.0,100.0,36.36363636363637,0.0,75.0,0.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0
51,100.0,0.0,0.0,22.22222222222222,0.0,25.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0
52,100.0,20.0,0.0,22.22222222222222,0.0,25.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,33.333333333333336,0
53,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,60.0,0.0,1
54,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1
55,100.0,20.0,33.333333333333336,11.11111111111111,0.0,12.5,0.0,0.0,100.0,36.36363636363637,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0
56,100.0,60.0,66.66666666666667,33.33333333333333,100.0,37.5,0.0,100.0,100.0,9.090909090909092,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,40.0,16.666666666666668,0
57,100.0,20.0,0.0,22.22222222222222,0.0,12.5,0.0,0.0,100.0,36.36363636363637,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,16.666666666666668,0
58,100.0,0.0,0.0,11.11111111111111,0.0,25.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.666666666666668,0
59,100.0,0.0,33.333333333333336,0.0,0.0,12.5,0.0,0.0,100.0,27.272727272727273,0.0,75.0,0.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,80.0,66.66666666666667,0
60,100.0,40.0,66.66666666666667,33.33333333333333,100.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,60.0,0.0,0
61,100.0,20.0,33.333333333333336,11.11111111111111,0.0,12.5,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,33.333333333333336,0
62,100.0,20.0,0.0,11.11111111111111,0.0,25.0,0.0,0.0,100.0,18.181818181818183,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,33.333333333333336,0
63,100.0,20.0,33.333333333333336,11.11111111111111,0.0,25.0,0.0,0.0,100.0,18.181818181818183,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,33.333333333333336,0
64,100.0,20.0,33.333333333333336,22.22222222222222,0.0,25.0,0.0,0.0,100.0,9.090909090909092,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,16.666666666666668,0
65,100.0,60.0,0.0,0.0,100.0,37.5,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,40.0,16.666666666666668,0
66,100.0,0.0,0.0,22.22222222222222,0.0,25.0,0.0,0.0,100.0,9.090909090909092,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0
